time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.5674383701852715e-15,-1.0678957247688727e-14,0.0,2.1271765682229216e-08,5.117169799007115e-09,0.0,2.567301494483341e-13,-1.0676596976438353e-12,-0.588788040832918,1.0631173335053953e-06,2.558312022962024e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-1.823919731212096e-15,-7.625109192207873e-15,0.0,1.5058226665587426e-08,6.283185303699742,0.0,-1.8239885101172966e-13,-7.623905227488682e-13,-0.5887880532388392,7.393659615830794e-07,-1.554226882334438e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,2.7702545248317253e-16,-8.6377373310604885e-16,0.0,1.6108536726733291e-09,5.521014756482145e-10,0.0,2.7702411585517693e-14,-8.637583618840996e-14,-0.5887881470469363,6.645405085940473e-08,2.7604739522233426e-08,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,2.630700572548495e-15,9.393842849040752e-15,0.0,6.283185288665864,5.44239409094871e-09,0.0,2.630557035929631e-13,9.39567744731349e-13,-0.5887880288826544,-9.034559920370498e-07,2.949298637866694e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,3.558722274110051e-15,-2.1266893944805974e-15,0.0,4.162536093588187e-09,7.091959020044669e-09,0.0,3.558459818052333e-13,-2.126595898683955e-13,-0.5887880649986343,2.0050375660537087e-07,3.5454557228503663e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,7.63734921672754e-15,-2.302716557112837e-14,0.0,4.546494292156922e-08,1.5106125239583434e-08,0.0,7.636142334534782e-13,-2.301622961817612e-12,-0.5887878894671073,2.233476363661823e-06,7.435749829267676e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-8.59887793242512e-15,-2.0553429208923372e-15,0.0,4.2025583013582946e-09,6.28318529002801,0.0,-8.600415214146557e-13,-2.0552554387439845e-13,-0.5887880606736631,2.2365211741951212e-07,-8.578854972422177e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-5.670112789421923e-15,3.981100850643142e-16,0.0,6.283185306408791,6.283185296153793,0.0,-5.670780725297855e-13,3.981134247436938e-14,-0.5887880835638197,-3.6263436862193466e-08,-5.203741483537953e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,6.0767263603567934e-15,-1.7802991049320194e-14,0.0,3.487764210774458e-08,1.1929437881974536e-08,0.0,6.075962716460624e-13,-1.779645114174208e-12,-0.5887877182526895,1.680654526809101e-06,5.734163211597107e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,4.944985667675548e-15,-2.6814380418534654e-15,0.0,5.132698710497152e-09,1.0031914854380375e-08,0.0,4.944478845930253e-13,-2.6812891337517513e-13,-0.5887880518588209,2.3252786951873365e-07,5.222257347459405e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
