time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.18,-0.03900559742031592,-0.014657396039048193,0.0,2.934275904028034,1.8733848824311394,0.0,-0.3523707108121425,-0.04932880314195792,-0.692220598892904,0.7451669800418455,-5.515664996356579,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.021147369533127826,-0.0029591376674826513,0.0,0.00023856252125753485,4.59464456534775e-05,0.0,-0.3525450465431708,-0.04928796117683111,-0.5514305478417398,0.004283376268578477,0.0014369610652273414,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.021159133453471618,-0.0029570887028311853,0.0,2.020879581543511e-05,0.00044181760119865743,0.0,-0.35280056159358764,-0.049276051128384554,-0.41005017135996213,-0.0031659865617939195,0.0061795616770037275,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.021173333368843625,-0.002956639377287056,0.0,6.283173419747266,0.00010264737039999972,0.0,-0.3529856337593842,-0.04927870837894459,-0.2686886539446359,-0.0010837515306960093,0.0025091312338871344,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.0211842687276883,-0.002956731940080076,0.0,4.4340112751228844e-05,6.283176212063625,0.0,-0.35315763463888517,-0.049275740824825214,-0.127127901257151,0.0014001546507590235,-0.001790424701374532,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.021195030204353146,-0.002955982658263101,0.0,0.00022968705758952268,6.0670444698374126e-05,0.0,-0.35335445668682564,-0.049236691510430475,0.014558256258227043,0.00418538425823904,-0.0041530552619001345,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
1.4400000000000008,-3.85931377116832,0.36926593179535605,0.0,1.056692738248195,0.5663821590792963,0.0,-6.937932565016229,-0.8981588863604928,-3.9536875027908485,-3.5249814980502623,-5.325111059843026,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.4182338515264212,-0.05392217785572215,0.0,3.7437334158063607e-05,7.007578870066311e-06,0.0,-7.0033780300022395,-0.8992448500081702,-3.857079039568035,0.0012356668159797103,0.00031026785924802834,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.42219776189460473,-0.05398708115341814,0.0,0.00015650624948015945,1.0156783575965278e-05,0.0,-7.070068334464977,-0.9003121458869154,-3.758135518732461,0.003296743071884648,0.00043058674946145064,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.4262375436607916,-0.05405153332934849,0.0,6.283175242202169,6.283181444155606,0.0,-7.138044213087026,-0.9014053261200172,-3.657181729423033,-0.0016818881211392877,-0.002188159850667737,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.4303554357816144,-0.05411719256296446,0.0,4.080154509900069e-05,6.28317931178427,0.0,-7.2073366233900575,-0.9024986163907595,-3.553593873714392,0.0013171764264237854,-0.0020488654331803427,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.4345535680216988,-0.05418292177382107,0.0,6.283173327966383,7.875501604814872e-05,0.0,-7.277992682993447,-0.9035992234783381,-3.4479865086148207,-0.0011499929583872717,0.002100088022061862,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.438834546116786,-0.054248840214589,0.0,9.534828780299875e-05,4.47012668445268e-05,0.0,-7.350038886410674,-0.9046883834882703,-3.340467559168578,0.002389117913060566,0.0014084751461228412,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.44320039156383945,-0.05431434740024688,0.0,6.736261512862995e-05,8.581950506947322e-05,0.0,-7.423530915175519,-0.9057851835713879,-3.230908467516859,0.0018860163481029663,0.0022261227419864884,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.44765415102252143,-0.05438038362839232,0.0,6.283179782987766,8.025577564652053e-05,0.0,-7.498503589934607,-0.9068949187739418,-3.118741611303569,-0.0003184686824436353,0.0021272618711116577,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.45219819007707723,-0.05444695206830637,0.0,4.791524537850478e-05,1.5731445480504647e-05,0.0,-7.575004257965324,-0.9080004013585313,-3.0048048699239875,0.0014813837864304943,-0.003024230508541956,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.45683603680008106,-0.05451326307016667,0.0,6.327901313163409e-06,0.00033616364848043645,0.0,-7.653132606273454,-0.9091052700513937,-2.8887365801807814,-0.002683031485973054,0.005263706835899594,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.4615715412483224,-0.054579787098730785,0.0,6.2831737255483855,3.1936437477675383e-05,0.0,-7.732837202209668,-0.9102210911975864,-2.770684763333924,-0.0014240845811639706,-0.003496177393152284,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
0.06,-0.46640416544702845,-0.05464659640244192,0.0,0.0001087890511346501,0.00023912519552915512,0.0,-7.8142425044366135,-0.9113237538092026,-2.650549944090458,0.0026071844994197267,0.004289529666958256,0.0,425.3598122953998,426.05423424997576,425.33623470103254,427.23694683372133
