time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.731562854028746e-15,1.700366240337368e-14,0.0,6.283185273235766,6.2831852937516715,0.0,-6.732504360049175e-13,1.7009681769646066e-12,-0.5887879690688926,-1.6983928918079028e-06,-6.715837451130095e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-1.3790800336717248e-14,-2.284524521033087e-14,0.0,4.499679118197264e-08,6.283185279647771,0.0,-1.3794754300621227e-12,-2.283448293777299e-12,-0.5887878297814915,2.19587288057627e-06,-1.3773812536808044e-06,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-7.965566052580219e-15,-1.1476876103102167e-14,0.0,2.250740038789445e-08,6.283185291185921,0.0,-7.966884231071871e-13,-1.1474150977643214e-12,-0.5887879982769807,1.0865068940104938e-06,-8.132995098512992e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,2.037900244792804e-14,1.7968131356170055e-14,0.0,6.2831852717266266,4.022782995605212e-08,0.0,2.037043183908575e-12,1.797485102288185e-12,-0.588787885921736,-1.7284969530448507e-06,1.9747263926189887e-06,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-2.248847452852576e-16,-4.291099578742287e-15,0.0,8.550876451351996e-09,6.283185306731312,0.0,-2.2488608107251647e-14,-4.2907182114798614e-13,-0.5887880758481112,4.2746772334873315e-07,-2.241394856969889e-08,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-9.028297577945758e-15,-1.9743205580725107e-15,0.0,3.778788837394131e-09,6.283185289405317,0.0,-9.029992139732361e-13,-1.9742397374275838e-13,-0.5887880838819795,1.7039115428810532e-07,-8.619448992074922e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-4.920541608283616e-15,-3.45146789699809e-15,0.0,6.878695835155213e-09,6.2831852975245965,0.0,-4.921044358412611e-13,-3.4512208617421425e-13,-0.5887880371365987,3.438855029052646e-07,-4.653659625664453e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-3.932992466316034e-15,2.2862201796898754e-15,0.0,6.283185302622057,6.283185299472418,0.0,-3.9333138240281143e-13,2.286328412432821e-13,-0.5887881116284698,-2.2789808308785355e-07,-3.7149181935776055e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,2.1610866848246847e-14,2.79219792841053e-16,0.0,6.283185306622919,4.302456613203276e-08,0.0,2.1601226909103875e-12,2.7922112782777823e-14,-0.5887880082053699,-2.7833696754561654e-08,2.1497045781566314e-06,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,3.657555163565005e-15,-5.61258458087636e-15,0.0,1.1184274839592945e-08,7.289497006013335e-09,0.0,3.6572781016402907e-13,-5.611931649400767e-13,-0.5887880294716221,5.590834789311507e-07,3.6441954619937665e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,3.75851395477322e-15,-2.189753191415725e-17,0.0,2.9096725029376103e-11,7.255324341315372e-09,0.0,3.7582213250455044e-13,-2.189753191415725e-15,-0.588788111595341,7.274357544482713e-10,3.3638855185730205e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-3.119566963642618e-16,1.0469646437806527e-15,0.0,6.283185305261135,6.28318530676162,0.0,-3.119587001893367e-14,1.0469873537981682e-13,-0.5887880843532586,-7.612835260695141e-08,2.425482444116108e-09,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,2.2453334292278353e-15,3.8566429491876055e-15,0.0,6.283185299736129,4.363691630260291e-09,0.0,2.2452285564762088e-13,3.856951555628698e-13,-0.588788090529152,-3.446940812606319e-07,2.014023000380379e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,3.687610427812358e-15,2.7691053641180593e-14,0.0,6.28318525170665,7.36785210619928e-09,0.0,3.687328950980485e-13,2.7707055132168015e-12,-0.5887879261602869,-2.794443240005555e-06,3.6917697591451443e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,-1.0461752365508562e-14,9.395120264948279e-16,0.0,6.283185305327102,6.283185286305663,0.0,-1.0464027854233015e-12,9.395300435609748e-14,-0.5887879757416841,-9.054869110487392e-08,-1.0441504924057778e-06,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,7.364412950703456e-15,-6.359699579517576e-15,0.0,1.2789823422565405e-08,1.4556173155710894e-08,0.0,7.363289657799926e-13,-6.35886194874281e-13,-0.5887879989316612,6.53927896319196e-07,7.15806412122681e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,2.857414802502476e-14,-8.719570070485711e-16,0.0,1.7385834993888238e-09,5.653509749237173e-08,0.0,2.8557327769823726e-12,-8.71941001096197e-14,-0.58878791086268,8.692600078437506e-08,2.7910398140090936e-06,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
0.06,4.001684793286078e-15,2.463853529461377e-16,0.0,6.283185306771269,7.97348409520282e-09,0.0,4.001352714103332e-13,2.4638668928087714e-14,-0.588788122283533,-9.201807778909618e-09,3.9860801172368317e-07,0.0,445.19758514445414,444.98042300111535,445.4639756771222,446.8496580044187
